time	cx	cy	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6	x7	y7	x8	y8	x9	y9
18.75	2777.787028	1715.949015	2841.902588	1982.008423	2914.854736	1913.612671	2949.269775	1829.874023	2906.359619	1754.033569	2817.60498	1707.96167	2728.850586	1661.889648	2640.095947	1615.817627	2594.804932	1537.39563	2606.340088	1440.947876
19.75	2836.11301	1822.535156	2951.566162	2117.173828	2876.401367	2051.217529	2864.225586	1974.446655	2913.08667	1887.196533	2915.559814	1789.449707	2880.178467	1704.464844	2802.925781	1640.966797	2703.929443	1639.119507	2617.143799	1598.781006
20.75	2840.004612	1886.510213	2816.355957	2177.593262	2899.187012	2165.8125	2917.772949	2079.841064	2894.845947	1982.504639	2874.966309	1884.592285	2860.781494	1785.603516	2842.984863	1688.40686	2772.735596	1617.237915	2680.411377	1596.999878
21.75	2848.092584	1918.921265	2754.67041	2186.936523	2848.171143	2159.296631	2923.891113	2120.065186	2950.799316	2026.739746	2913.842773	1933.819214	2876.88623	1840.898804	2839.521729	1748.141724	2802.109863	1655.403564	2722.940674	1598.98999
22.75	2874.390564	1918.340149	2912.311523	2241.127197	2934.805664	2150.540771	2895.700195	2058.503906	2867.942871	1964.759277	2878.225586	1865.289307	2881.664063	1766.514893	2851.583252	1671.146484	2772.891357	1628.839355	2722.269775	1617.622925
23.75	2840.584147	1826.174547	2940.350586	2129.008545	2872.171387	2055.85376	2875.921143	1972.909058	2914.976563	1881.897095	2929.595459	1782.971313	2890.898193	1706.051147	2802.952393	1667.678467	2707.083496	1651.157349	2631.308105	1588.044189
24.75	2804.924832	1731.39129	2838.787109	1962.699097	2932.180176	1927.558838	2985.299805	1842.834106	2935.624756	1759.784302	2840.447266	1729.104614	2749.751709	1688.671875	2664.483887	1636.428345	2627.635742	1553.915161	2670.113037	1481.525269
25.75	2773.957628	1585.628472	3000.790039	1757.148315	2901.091064	1749.393311	2801.392334	1741.638428	2713.3125	1697.521118	2648.048584	1635.958618	2675.432617	1543.748535	2741.970459	1469.097778	2771.417236	1373.655884	2712.163818	1302.494263
26.75	2687.889648	1491.645589	2762.147461	1753.411011	2685.20459	1710.966675	2680.922852	1620.358887	2739.533447	1539.335571	2775.020508	1449.980225	2780.080566	1351.178711	2685.323975	1324.241455	2589.008301	1351.13623	2493.765137	1324.201538
27.75	2645.930013	1369.554443	2669.93042	1543.5	2764.395508	1510.692017	2813.875	1438.969482	2766.244629	1370.271484	2668.318115	1362.601563	2568.318604	1362.294922	2486.460938	1310.588501	2494.124268	1220.260986	2581.702637	1206.811035
